teia_cm2;perna _cm;distancia_cm;angulo;n_aranhas
2622,07;0,78;7,43;90;1
2769,9;1,14;5,89;90;4
5091,08;1,23;5,42;90;4
1779,8;0,91;5,18;90;4
2217,59;0,77;4,13;90;4
949,05;0,62;4,87;90;4
2021,87;0,89;0,58;90;7
578,85;0,78;0,58;90;7
2586,94;0,99;0,86;90;7
1629,19;0,99;1,39;90;4
2598;0,87;1,76;90;4
1141,64;0,8;1,93;90;6
3931,39;0,95;4,73;90;1
6886;1,08;0,33;90;4
2912,18;1,15;0,56;90;4
2181,9;0,94;2,06;90;3
2704,45;1,06;2,3;90;3
1798,68;0,96;1,54;90;3
1488,33;0,79;4,39;90;2
1249;0,66;3,34;90;2
1014,19;0,98;2,76;90;2
4038,25;1,06;2,38;90;1
3261,51;0,81;4,83;90;1
3113,97;0,94;2,37;90;2
3875,89;1,08;3,89;90;4
2789,22;1,02;5,07;90;4
931,27;0,67;5,37;90;4
2336,54;0,93;2,07;90;2
1235,44;0,75;2,46;90;2
2636,55;1,23;2,74;90;2
1459,9;0,81;0;90;4
946,94;0,99;0;90;4
2247,71;1;1,92;90;4
593,83;0,96;2,25;90;4
1315,26;0,76;1,92;90;4
2487,03;1,14;2,12;90;4
3076,92;1,17;7,43;33;2
1970,39;0,75;3,51;29;2
3223,09;0,72;5,81;90;1
1273,14;1,06;1,84;90;3
485,57;1,19;3,51;60;1
3268,97;1,27;3,96;90;1
1785,02;1,01;8,73;30;1
1275,79;0,9;2,34;90;2
2283,18;1,11;4,1;90;2
660,31;0,88;4,05;90;3
1268,96;0,88;1,48;90;4
2855,43;0,76;2,54;90;4
762,31;0,67;3;90;5
1262,91;0,72;3,34;90;5
290,34;0,55;2,53;90;4
1860,86;0,66;3,05;90;4
2325,53;1,2;3,1;90;4
2565,15;1,03;3,55;90;5
1399,2;1,11;2,83;90;4
869,41;1,08;2,4;90;2
4366,62;0,95;3,79;90;4
852,2;1,11;3,81;90;4
4757,46;1,12;12,89;90;1
3348,14;0,85;8,44;45;2
4590,29;1;8,44;45;2